tconst,domestic,international,worldwide
tt0281686,1239183.0,,1239183.0
tt0281707,,624257.0,624257.0
tt0281718,,550031.0,550031.0
tt0281724,11305.0,,11305.0
tt0281820,3517797.0,2239148.0,5756945.0
tt0281924,,2691510.0,2691510.0
tt0281954,,86466.0,86466.0
tt0282120,40108697.0,20586040.0,60694737.0
tt0282129,,38286.0,38286.0
tt0282141,,5944.0,5944.0
tt0282155,,2353681.0,2353681.0
tt0282209,32551396.0,14937140.0,47488536.0
tt0282251,,86893.0,86893.0
tt0282515,,1323340.0,1323340.0
tt0282552,220944.0,7441262.0,7662206.0
tt0282593,,719309.0,719309.0
tt0282599,,217147.0,217147.0
tt0282628,,1144132.0,1144132.0
tt0282687,14448589.0,2424082.0,16872671.0
tt0282698,213137.0,10289.0,223426.0
tt0282701,,257.0,257.0
tt0282708,,430012.0,430012.0
tt0282718,11480.0,,11480.0
tt0282744,,5022865.0,5022865.0
tt0282768,661903.0,574279.0,1236182.0
tt0282771,399110.0,4393.0,403503.0
tt0282856,421516.0,,421516.0
tt0282864,247948.0,182914.0,430862.0
tt0282917,,538146.0,538146.0
tt0282945,8018.0,,8018.0
tt0282965,24997.0,,24997.0
tt0283003,411119.0,274489.0,685608.0
tt0283026,28564995.0,5846245.0,34411240.0
tt0283027,,963010.0,963010.0
tt0283054,,3042497.0,3042497.0
tt0283077,,20808.0,20808.0
tt0283084,19161999.0,182616.0,19344615.0
tt0283111,21305259.0,16970224.0,38275483.0
tt0283123,,1374980.0,1374980.0
tt0283139,16357770.0,5314514.0,21672284.0
tt0283160,4842259.0,6117216.0,10959475.0
tt0283283,14904.0,378447.0,393351.0
tt0283288,202272.0,11326.0,213598.0
tt0283291,,137240.0,137240.0
tt0283309,,11783.0,11783.0
tt0283323,60000.0,,60000.0
tt0283383,,189118.0,189118.0
tt0283387,603520.0,,603520.0
tt0283422,140872.0,712654.0,853526.0
tt0283426,47901582.0,138402177.0,186303759.0
tt0283431,1418314.0,7496437.0,8914751.0
tt0283469,34222.0,,34222.0
tt0283476,,7715.0,7715.0
tt0283503,458232.0,,458232.0
tt0283509,1012153.0,3846716.0,4858869.0
tt0283530,14118751.0,2199698.0,16318449.0
tt0283534,,4424253.0,4424253.0
tt0283552,,40419.0,40419.0
tt0283567,,655465.0,655465.0
tt0283632,12840842.0,3605429.0,16446271.0
tt0283742,,2187157.0,2187157.0
tt0283832,3098776.0,39327807.0,42426583.0
tt0283878,,3143540.0,3143540.0
tt0283883,736872.0,2123913.0,2860785.0
tt0283897,1013272.0,,1013272.0
